Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
pa and lateral chest views were obtained with patient in upright position,1.0,,,,,,,,,,,,,
comparison is made with the next preceding similar examination of,1.0,,,,,,,,,,,,,
the previously identified residual local pleural thickenings and scar formations as well as mild elevation of the right-sided diaphragm again noted following the previously performed decortication procedure,,,,,1.0,,,,,,,1.0,,
comparison between the two examinations demonstrates further marked reduction of the postoperative scar formations,,,,,1.0,,,,,,,,,
mild blunting of the lateral and posterior pleural sinus on the right side persists but there is no evidence of any remaining free fluid,,,,,,,,,,,,,,
no new abnormalities are seen,1.0,,,,,,,,,,,,,
left-sided hemithorax is unremarkable  .,1.0,,,,,,,,,,,,,
pa and lateral chest views were obtained with patient in upright position,1.0,,,,,,,,,,,,,
comparison is made with the next preceding similar examination of,1.0,,,,,,,,,,,,,
the previously identified residual local pleural thickenings and scar formations as well as mild elevation of the right-sided diaphragm again noted following the previously performed decortication procedure,,,,,1.0,,,,,,,1.0,,
comparison between the two examinations demonstrates further marked reduction of the postoperative scar formations,,,,,1.0,,,,,,,,,
mild blunting of the lateral and posterior pleural sinus on the right side persists but there is no evidence of any remaining free fluid,,,,,,,,,,,,,,
no new abnormalities are seen,1.0,,,,,,,,,,,,,
left-sided hemithorax is unremarkable  .,1.0,,,,,,,,,,,,,
there is moderate cardiomegaly which is new since,,,1.0,,,,,,,,,,,
central pulmonary vessels are engorged and there is mild interstitial edema with a large right pleural effusion,,,,,,1.0,,,,,1.0,,,
a trace left pleural effusion is also present,,,,,,,,,,,1.0,,,
there is no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
unchanged extensive right pleural effusion with right pleural pigtail catheter,,,,,,,,,,,1.0,,,1.0
no evidence of right pneumothorax,1.0,,,,,,,,,0.0,,,,
unchanged normal appearance of the left lung and the left heart border  .,1.0,,,,,,,,,,,,,
the left lung is clear,1.0,,,,,,,,,,,,,
there is stable elevation of the right hemidiaphragm,,,,,,,,,,,,,,
mild atelectasis is noted in the right lung base along with basilar scarring causing patchy opacity in the right lung base better assessed on prior ct torso from,,,,,1.0,,,,1.0,,,,,
the heart size is normal,1.0,,0.0,,,,,,,,,,,
no pulmonary edema pleural effusion or pneumothorax  .,1.0,,,,,0.0,,,,0.0,0.0,,,
the left lung is clear,1.0,,,,,,,,,,,,,
there is stable elevation of the right hemidiaphragm,,,,,,,,,,,,,,
mild atelectasis is noted in the right lung base along with basilar scarring causing patchy opacity in the right lung base better assessed on prior ct torso from,,,,,1.0,,,,1.0,,,,,
the heart size is normal,1.0,,0.0,,,,,,,,,,,
no pulmonary edema pleural effusion or pneumothorax  .,1.0,,,,,0.0,,,,0.0,0.0,,,
there are diffuse predominantly perihilar airspace opacities with slightly nodular appearance which are new from prior studies,,,,,1.0,,,,,,,,,
superimposed hilar adenopathy is difficult to exclude,1.0,,,,,,,,,,,,,
no pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
the cardiomediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
no acute osseous abnormality is detected  .,1.0,,,,,,,,,,,,,
there are diffuse predominantly perihilar airspace opacities with slightly nodular appearance which are new from prior studies,,,,,1.0,,,,,,,,,
superimposed hilar adenopathy is difficult to exclude,1.0,,,,,,,,,,,,,
no pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
the cardiomediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
no acute osseous abnormality is detected  .,1.0,,,,,,,,,,,,,
the patient has undergone vats decortication,1.0,,,,,,,,,,,,,
a total of three right-sided chest tubes are in situ,1.0,,,,,,,,,,,,,1.0
at the right lateral lung bases at the site of chest tube insertion there is evidence of a small basal pneumothorax,,,,,,,,,,1.0,,,,1.0
mild basal atelectasis on the right,,,,,,,,,1.0,,,,,
mild right soft tissue air inclusions,1.0,,,,,,,,,,,,,
the left lung is unchanged  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest,1.0,,,,,,,,,,,,,
there has been a decrease in density of the perihilar opacities which may represent a combination of pulmonary edema and pneumonia,,,,,1.0,-1.0,,-1.0,,,,,,
no pleural effusions or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiomediastinal contours are stable  .,,-1.0,,,,,,,,,,,,
pa and lateral views of the chest,1.0,,,,,,,,,,,,,
there has been a decrease in density of the perihilar opacities which may represent a combination of pulmonary edema and pneumonia,,,,,1.0,-1.0,,-1.0,,,,,,
no pleural effusions or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiomediastinal contours are stable  .,,-1.0,,,,,,,,,,,,
since most recent prior radiograph there has been resolution of opacity in the right mid lung,1.0,,,,0.0,,,,,,,,,
again seen are chronic pleural changes on the right and thickening of the minor fissure,,,,,,,,,,,,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
left hemithorax is unremarkable  .,1.0,,,,,,,,,,,,,
since most recent prior radiograph there has been resolution of opacity in the right mid lung,1.0,,,,0.0,,,,,,,,,
again seen are chronic pleural changes on the right and thickening of the minor fissure,,,,,,,,,,,,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
left hemithorax is unremarkable  .,1.0,,,,,,,,,,,,,
in comparison with the study of there is some decrease in the opacification at the right base,,,,,1.0,,,,,,,,,
chest tubes remain in place and there is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,1.0
some residual atelectasis and effusion are noted,,,,,,,,,1.0,,1.0,,,
the possibility of supervening pneumonia at the right base could not be excluded,,,,,,,,1.0,,,,,,
the left lung is essentially clear with mild atelectatic changes at the base,,,,,,,,,1.0,,,,,
subcutaneous emphysema persists along the right lateral upper abdominal wall  .,,,,,,,,,,,,,,
in comparison with the study of there is some decrease in the opacification at the right base,,,,,1.0,,,,,,,,,
chest tubes remain in place and there is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,1.0
some residual atelectasis and effusion are noted,,,,,,,,,1.0,,1.0,,,
the possibility of supervening pneumonia at the right base could not be excluded,,,,,,,,1.0,,,,,,
the left lung is essentially clear with mild atelectatic changes at the base,,,,,,,,,1.0,,,,,
subcutaneous emphysema persists along the right lateral upper abdominal wall  .,,,,,,,,,,,,,,
lung volumes are low which accentuates bronchovascular markings and the transverse diameter of the heart,,,1.0,,,,,,,,,,,
given that the heart is top-normal to minimally enlarged,,,1.0,,,,,,,,,,,
the pulmonary vasculature is mildly engorged and there is mild edema,,,,,,1.0,,,,,,,,
a right basal opacity suggests atelectasis however infection should be considered,,,,,1.0,,,1.0,1.0,,,,,
no pleural effusion is identified,1.0,,,,,,,,,,0.0,,,
the left lung is clear  .,1.0,,,,,,,,,,,,,
pa and lateral chest radiographs demonstrate no interval change from,1.0,,,,,,,,,,,,,
small right pleural effusion adjacent atelectasis and scar formation are stable,,,,,1.0,,,,1.0,,1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
the left hemithorax is unremarkable  .,1.0,,,,,,,,,,,,,
pa and lateral chest radiographs demonstrate no interval change from,1.0,,,,,,,,,,,,,
small right pleural effusion adjacent atelectasis and scar formation are stable,,,,,1.0,,,,1.0,,1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
the left hemithorax is unremarkable  .,1.0,,,,,,,,,,,,,
as compared to the previous radiograph the patient has received a new nasogastric tube,1.0,,,,,,,,,,,,,1.0
the tube shows a normal course the tip is not included on the image,1.0,,,,,,,,,,,,,1.0
otherwise there is no relevant change with the exception of mild decrease of the pre-existing parenchymal opacities caused by pleural effusions and subsequent areas of atelectasis at both lung bases  .,,,,,1.0,,,,1.0,,1.0,,,
as compared to the previous radiograph the patient has received a new nasogastric tube,1.0,,,,,,,,,,,,,1.0
the tube shows a normal course the tip is not included on the image,1.0,,,,,,,,,,,,,1.0
otherwise there is no relevant change with the exception of mild decrease of the pre-existing parenchymal opacities caused by pleural effusions and subsequent areas of atelectasis at both lung bases  .,,,,,1.0,,,,1.0,,1.0,,,
the pacer unit leads are unchanged in position,1.0,,,,,,,,,,,,,1.0
the endotracheal tube tip sits 3 cm above the carina,1.0,,,,,,,,,,,,,1.0
the endogastric tube side port sits just below the ge junction,1.0,,,,,,,,,,,,,1.0
a prosthetic mitral valve is noted,1.0,,,,,,,,,,,,,1.0
the heart size is stable,,,1.0,,,,,,,,,,,
there has been minimal improvement in the diffuse ground-glass opacities,,,,,1.0,,,,,,,,,
blunting of both costophrenic angles suggests small pleural effusions along with predominantly retrocardiac atelectasis,,,,,,,,,1.0,,1.0,,,
there is no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
as compared to the previous radiograph there is a severe increase in extent of the bilateral parenchymal opacities,,,,,1.0,,,,,,,,,
these are strongly suggestive for severely increasing pulmonary edema,,,,,,1.0,,,,,,,,
in addition a small right pleural effusion has newly occurred,,,,,,,,,,,1.0,,,
there is unchanged evidence of cardiomegaly,,,1.0,,,,,,,,,,,
no pneumonia retrocardiac atelectasis is present,1.0,,,,,,,0.0,0.0,,,,,
at the time of dictation 827 am referring physician,1.0,,,,,,,,,,,,,
was paged for notification  .,1.0,,,,,,,,,,,,,
as compared to the previous radiograph the monitoring and support devices are unchanged,1.0,,,,,,,,,,,,,1.0
slight progression of the bilateral basilar areas of atelectasis,,,,,,,,,1.0,,,,,
minimal further enlargement of the cardiac silhouette,,,1.0,,,,,,,,,,,
otherwise the lung parenchyma is unchanged,1.0,,,,,,,,,,,,,
no pneumothorax no larger pleural effusions  .,1.0,,,,,,,,,0.0,0.0,,,
one ap portable view of the chest,1.0,,,,,,,,,,,,,
endotracheal tube ends 3 cm from the carina,1.0,,,,,,,,,,,,,1.0
nasogastric tube ends in the stomach,1.0,,,,,,,,,,,,,1.0
left aicd device leads terminate in the appropriate positions,1.0,,,,,,,,,,,,,1.0
after ett placement there are increased lung volumes and still severe pulmonary edema,,,,,,1.0,,,,,,,,
cardiomegaly is stable,,,1.0,,,,,,,,,,,
small right pleural effusion is stable,,,,,,,,,,,1.0,,,
retrocardiac atelectasis is unchanged,,,,,,,,,1.0,,,,,
no evidence of pneumonia,1.0,,,,,,,0.0,,,,,,
sternotomy wires are seen  .,1.0,,,,,,,,,,,,,
one portable ap semi-erect view of the chest,1.0,,,,,,,,,,,,,
severe pulmonary edema is unchanged,,,,,,1.0,,,,,,,,
bilateral pleural effusions are unchanged,,,,,,,,,,,1.0,,,
moderate cardiomegaly is stable,,,1.0,,,,,,,,,,,
there is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
sternotomy wires and mitral valve hardware are in appropriate position,1.0,,,,,,,,,,,,,1.0
right atrial transvenous pacer lead still passes posteriorly in the right atrium ending at the inferior cavoatrial junction a nonstandard position,1.0,,,,,,,,,,,,,1.0
the right ventricular lead is in appropriate position  .,1.0,,,,,,,,,,,,,
the endotracheal tube tip sits 4 cm above the carina,1.0,,,,,,,,,,,,,1.0
a right-sided central venous catheter tip sits at the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
an endogastric tube courses inferiorly below the ge junction,1.0,,,,,,,,,,,,,1.0
a pacer defibrillator unit projects over the left chest with leads in the right atrium right ventricle and coronary sinus,,,,,,,,,,,,,,1.0
sternotomy wires prosthetic valve and cabg material are unchanged,1.0,,,,,,,,,,,,,1.0
the heart size is at the upper limits of normal,1.0,,0.0,,,,,,,,,,,
the mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
the lungs demonstrate stable appearance of interstitial edema and small bilateral pleural effusions with associated atelectasis are present,,,,,,1.0,,,1.0,,1.0,,,
there is no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
patient is status post median sternotomy cabg and mitral valve replacement,1.0,,,,,,,,,,,,,1.0
a left-sided aicd device is noted with leads terminating in the right atrium right ventricle and coronary sinus,1.0,,,,,,,,,,,,,1.0
mild enlargement of the cardiac silhouette is redemonstrated with unchanged tortuosity of the thoracic aorta,,,1.0,,,,,,,,,,,
there is perihilar haziness with vascular indistinctness and diffuse alveolar opacities compatible with moderate pulmonary edema,,,,,1.0,1.0,,,,,,,,
no large pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
there are no acute osseous abnormalities  .,1.0,,,,,,,,,,,,,
ap and lateral chest radiographs demonstrate stable bilateral low lung volumes with persistent elevation of the left hemidiaphragm with air distended bowel beneath,,,,,,,,,,,,,,
mediastinal contours are stable,,-1.0,,,,,,,,,,,,
the cardiac contour is not well evaluated due to elevation of the diaphragm,,-1.0,-1.0,,,,,,,,,,,
compared to prior study there is increased pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
no focal opacification concerning for pneumonia identified,,,,,0.0,,,-1.0,,,,,,
no pleural effusion or pneumothorax evident  .,1.0,,,,,,,,,0.0,0.0,,,
ap and lateral chest radiographs demonstrate stable bilateral low lung volumes with persistent elevation of the left hemidiaphragm with air distended bowel beneath,,,,,,,,,,,,,,
mediastinal contours are stable,,-1.0,,,,,,,,,,,,
the cardiac contour is not well evaluated due to elevation of the diaphragm,,-1.0,-1.0,,,,,,,,,,,
compared to prior study there is increased pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
no focal opacification concerning for pneumonia identified,,,,,0.0,,,-1.0,,,,,,
no pleural effusion or pneumothorax evident  .,1.0,,,,,,,,,0.0,0.0,,,
ap and lateral chest radiographs demonstrate stable bilateral low lung volumes with persistent elevation of the left hemidiaphragm with air distended bowel beneath,,,,,,,,,,,,,,
mediastinal contours are stable,,-1.0,,,,,,,,,,,,
the cardiac contour is not well evaluated due to elevation of the diaphragm,,-1.0,-1.0,,,,,,,,,,,
compared to prior study there is increased pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
no focal opacification concerning for pneumonia identified,,,,,0.0,,,-1.0,,,,,,
no pleural effusion or pneumothorax evident  .,1.0,,,,,,,,,0.0,0.0,,,
the patient is rotated with respect to the film,1.0,,,,,,,,,,,,,
lung volumes are low and the left hemidiaphragm is markedly elevated similar to prior,1.0,,,,,,,,,,,,,
cardiomediastinal contours appear stable,,1.0,,,,,,,,,,,,
indistinct appearance of the pulmonary vascular markings is compatible with mild interstitial edema,,,,,,-1.0,,,,,,,,
no focal consolidation substantial pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
no radiopaque foreign body  .,,,,,,,,,,,,,,
as compared to the previous radiograph there is unchanged elevation of the left hemidiaphragm with subsequent decrease in volume of the left hemithorax,,,,,,,,,,,,,,
otherwise the lungs are more transparent than on the previous examination likely to reflect improved ventilation,1.0,,,,,,,,,,,,,
unchanged mild subpleural scarring bilaterally but no evidence of acute lung changes,,,,,,,,,,,,1.0,,
no evidence of larger pleural effusions,1.0,,,,,,,,,,0.0,,,
no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
as compared to the previous radiograph there is unchanged elevation of the left hemidiaphragm with subsequent decrease in volume of the left hemithorax,,,,,,,,,,,,,,
otherwise the lungs are more transparent than on the previous examination likely to reflect improved ventilation,1.0,,,,,,,,,,,,,
unchanged mild subpleural scarring bilaterally but no evidence of acute lung changes,,,,,,,,,,,,1.0,,
no evidence of larger pleural effusions,1.0,,,,,,,,,,0.0,,,
no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
lung volumes remain low accentuating the cardiac silhouette and bronchovascular structures,,,1.0,,,,,,,,,,,
with this limitation in mind cardiomediastinal contours are stable in appearance,,1.0,,,,,,,,,,,,
persistent elevation of left hemidiaphragm with adjacent atelectasis at the left lower lobe,,,,,,,,,1.0,,,,,
right retrocardiac atelectasis is also similar to the prior study  .,,,,,,,,,1.0,,,,,
lung volumes remain low accentuating the cardiac silhouette and bronchovascular structures,,,1.0,,,,,,,,,,,
there is persistent elevation of the left hemidiaphragm,,,,,,,,,,,,,,
adjacent atelectasis of the left lower lobe has slightly improved,,,,,,,,,1.0,,,,,
right retrocardiac atelectasis remains unchanged,,,,,,,,,1.0,,,,,
there are small bilateral pleural effusions  .,,,,,,,,,,,1.0,,,
single frontal view of the chest,1.0,,,,,,,,,,,,,
lung volumes are very low and marked elevation of the left greater than right hemidiaphragm is similar to prior,,,,,,,,,,,,,,
bibasilar atelectasis is unchanged,,,,,,,,,1.0,,,,,
cardiomediastinal contours are stable,,-1.0,,,,,,,,,,,,
pulmonary vascular markings appear normal,1.0,,,,,,,,,,,,,
no focal consolidation or large pleural effusion  .,1.0,,,,,,0.0,,,,0.0,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
massive elevation of the left hemidiaphragm with subsequent basal areas of atelectasis,,,,,,,,,1.0,,,,,
borderline size of the cardiac silhouette,,,1.0,,,,,,,,,,,
no pneumonia or other acute changes,1.0,,,,,,,0.0,,,,,,
no pleural effusions  .,1.0,,,,,,,,,,0.0,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
massive elevation of the left hemidiaphragm with subsequent basal areas of atelectasis,,,,,,,,,1.0,,,,,
borderline size of the cardiac silhouette,,,1.0,,,,,,,,,,,
no pneumonia or other acute changes,1.0,,,,,,,0.0,,,,,,
no pleural effusions  .,1.0,,,,,,,,,,0.0,,,
frontal and lateral views of the chest demonstrate low lung volumes which accentuate bronchovascular markings,1.0,,,,,,,,,,,,,
marked elevation of bilateral hemidiaphragms is longstanding,,,,,,,,,,,,,,
there is near-complete resolution of small bilateral pleural effusions seen on exam,1.0,,,,,,,,,,0.0,,,
there is no pulmonary edema,1.0,,,,,0.0,,,,,,,,
hilar and mediastinal silhouettes are unchanged,,-1.0,,,,,,,,,,,,
heart size is top normal,1.0,,0.0,,,,,,,,,,,
no focal consolidation or pneumothorax  .,1.0,,,,,,0.0,,,0.0,,,,
frontal and lateral views of the chest demonstrate low lung volumes which accentuate bronchovascular markings,1.0,,,,,,,,,,,,,
marked elevation of bilateral hemidiaphragms is longstanding,,,,,,,,,,,,,,
there is near-complete resolution of small bilateral pleural effusions seen on exam,1.0,,,,,,,,,,0.0,,,
there is no pulmonary edema,1.0,,,,,0.0,,,,,,,,
hilar and mediastinal silhouettes are unchanged,,-1.0,,,,,,,,,,,,
heart size is top normal,1.0,,0.0,,,,,,,,,,,
no focal consolidation or pneumothorax  .,1.0,,,,,,0.0,,,0.0,,,,
the lungs are extremely low in volume but appear clear,1.0,,,,,,,,,,,,,
the cardiac silhouette is obscured by an elevated left hemidiaphragm unchanged,,,-1.0,,,,,,,,,,,
the hilar contours and pleural surfaces appear normal,,1.0,,,,,,,,,,,,
no definite pleural effusions are present  .,1.0,,,,,,,,,,0.0,,,
the lungs are extremely low in volume but appear clear,1.0,,,,,,,,,,,,,
the cardiac silhouette is obscured by an elevated left hemidiaphragm unchanged,,,-1.0,,,,,,,,,,,
the hilar contours and pleural surfaces appear normal,,1.0,,,,,,,,,,,,
no definite pleural effusions are present  .,1.0,,,,,,,,,,0.0,,,
the cardiomediastinal contours show a mildly engorged azygous vein but there is no pulmonary edema,,1.0,,,,0.0,,,,,,,,
there continues to be severely low lung volumes with chronic diaphragmatic elevation more prominent on the left than the right which obscures assessment of the heart and most of the lungs,,,1.0,,,,,,,,,,,
the upper portions of the lungs are clear of consolidation,1.0,,,,,,0.0,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
an anchor is noted in the right humeral head and a fracture through the proximal humeral neck is seen similar in appearance to prior shoulder radiograph dated,,,,,,,,,,,,,1.0,
the right ac joint continues to be widened  .,1.0,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
low lung volumes and elevation of the left hemidiaphragm are similar to prior,,,,,,,,,,,,,,
pulmonary vascular markings are indistinct compatible with mild pulmonary edema,,,,,,-1.0,,,,,,,,
left base atelectasis is present,,,,,,,,,1.0,,,,,
no substantial pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiomediastinal contours are stable  .,,-1.0,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
low lung volumes and elevation of the left hemidiaphragm are similar to prior,,,,,,,,,,,,,,
pulmonary vascular markings are indistinct compatible with mild pulmonary edema,,,,,,-1.0,,,,,,,,
left base atelectasis is present,,,,,,,,,1.0,,,,,
no substantial pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiomediastinal contours are stable  .,,-1.0,,,,,,,,,,,,
again seen is marked elevation of the left hemidiaphragm with adjacent compressive atelectasis,,,,,,,,,1.0,,,,,
gas is seen within the splenic flexure,1.0,,,,,,,,,,,,,
there is mild central pulmonary vascular congestion with mild interstitial edema new since,,,,,,1.0,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
the heart size is normal  .,1.0,,0.0,,,,,,,,,,,
again seen is marked elevation of the left hemidiaphragm with adjacent compressive atelectasis,,,,,,,,,1.0,,,,,
gas is seen within the splenic flexure,1.0,,,,,,,,,,,,,
there is mild central pulmonary vascular congestion with mild interstitial edema new since,,,,,,1.0,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
the heart size is normal  .,1.0,,0.0,,,,,,,,,,,
the previously seen left lower lobe opacity has resolved,1.0,,,,0.0,,,,,,,,,
there is no new focal consolidation pleural effusion or pneumothorax,,,,,,,-1.0,,,-1.0,-1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
there are no acute bony findings  .,1.0,,,,,,,,,,,,,
the previously seen left lower lobe opacity has resolved,1.0,,,,0.0,,,,,,,,,
there is no new focal consolidation pleural effusion or pneumothorax,,,,,,,-1.0,,,-1.0,-1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
there are no acute bony findings  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
imaged osseous structures are intact,1.0,,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
imaged osseous structures are intact,1.0,,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen  .,1.0,,,,,,,,,,,,,
a dual lead pacemakericd device with two leads appears unchanged,1.0,,,,,,,,,,,,,1.0
the patient is status post endovascular aortic valve replacement,1.0,,,,,,,,,,,,,1.0
mitral annular calcifications are present,,,,,,,,,,,,,,
the heart is moderately enlarged,,,1.0,,,,,,,,,,,
the mediastinal and hilar contours appear unchanged,,1.0,,,,,,,,,,,,
a mild new interstitial abnormality suggests vascular congestion but no focal opacities are identified,,,,,0.0,-1.0,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the patient is again status post vertebroplasty of the t10 vertebral body which demonstrates a fragmented moderate compression deformity with slight retropulsion of the dominant posterior fragment but not significantly changed,,,,,,,,,,,,,,
prior posterior fusion involving t10 and t11 also appears unchanged,1.0,,,,,,,,,,,,,
a moderate biconcave l1 compression deformity appears unchanged  .,,,,,,,,,,,,,,
a dual lead pacemakericd device with two leads appears unchanged,1.0,,,,,,,,,,,,,1.0
the patient is status post endovascular aortic valve replacement,1.0,,,,,,,,,,,,,1.0
mitral annular calcifications are present,,,,,,,,,,,,,,
the heart is moderately enlarged,,,1.0,,,,,,,,,,,
the mediastinal and hilar contours appear unchanged,,1.0,,,,,,,,,,,,
a mild new interstitial abnormality suggests vascular congestion but no focal opacities are identified,,,,,0.0,-1.0,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the patient is again status post vertebroplasty of the t10 vertebral body which demonstrates a fragmented moderate compression deformity with slight retropulsion of the dominant posterior fragment but not significantly changed,,,,,,,,,,,,,,
prior posterior fusion involving t10 and t11 also appears unchanged,1.0,,,,,,,,,,,,,
a moderate biconcave l1 compression deformity appears unchanged  .,,,,,,,,,,,,,,
as compared to the previous radiograph patient has been intubated,1.0,,,,,,,,,,,,,
the tip of the endotracheal tube ends 4 cm above the carina,1.0,,,,,,,,,,,,,1.0
the nasogastric tube ends in the stomach,1.0,,,,,,,,,,,,,1.0
right subclavian vein line tip projects over the mid-to-low svc,1.0,,,,,,,,,,,,,1.0
moderate-to-severe right pleural effusion,,,,,,,,,,,1.0,,,
atelectatic right basal lung,,,,,,,,,1.0,,,,,
moderate cardiomegaly and mild fluid overload,,,1.0,,,,,,,,,,,
the left pectoral pacemaker is constant  .,1.0,,,,,,,,,,,,,1.0
in comparison with study of the endotracheal tube and nasogastric tubes have been removed,1.0,,,,,,,,,,,,,1.0
lung volumes are stable or even increased,1.0,,,,,,,,,,,,,
continued enlargement of the cardiac silhouette with some evidence of increased pulmonary venous pressure,,,1.0,,,,,,,,,,,
pacemaker device remains in place  .,1.0,,,,,,,,,,,,,1.0
there is a dual lead pacemakericd device whose leads terminate in the right atrium and ventricle respectively without significant change,1.0,,,,,,,,,,,,,1.0
the heart is again moderately enlarged,,,1.0,,,,,,,,,,,
the mediastinal and hilar contours appear stable,,1.0,,,,,,,,,,,,
the lungs are clear,1.0,,,,,,,,,,,,,
there are no pleural effusions or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
calcified unk projects along the greater tuberosity of the left humerus  .,,,,,,,,,,,,,,1.0
there is a dual lead pacemakericd device whose leads terminate in the right atrium and ventricle respectively without significant change,1.0,,,,,,,,,,,,,1.0
the heart is again moderately enlarged,,,1.0,,,,,,,,,,,
the mediastinal and hilar contours appear stable,,1.0,,,,,,,,,,,,
the lungs are clear,1.0,,,,,,,,,,,,,
there are no pleural effusions or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
calcified unk projects along the greater tuberosity of the left humerus  .,,,,,,,,,,,,,,1.0
ap upright and lateral views of the chest are provided,1.0,,,,,,,,,,,,,
dual-lead pacemaker is in unchanged position,1.0,,,,,,,,,,,,,1.0
a metallic stent projects over the heart in the expected location of the aortic valve,1.0,,,,,,,,,,,,,1.0
hardware is noted in the lower thoracic spine with evidence of vertebroplasty in a lower thoracic vertebral body,1.0,,,,,,,,,,,,,1.0
cardiomegaly is unchanged,,,1.0,,,,,,,,,,,
there is no definite sign of pulmonary edema,1.0,,,,,0.0,,,,,,,,
no pleural effusion or signs of pneumonia,1.0,,,,,,,0.0,,,0.0,,,
mediastinal contour is stable,,-1.0,,,,,,,,,,,,
bony structures appear unchanged,1.0,,,,,,,,,,,,,
a wedge deformity is seen just above the level of vertebroplasty in the lower t-spine which is unchanged  .,,,,,,,,,,,,,,
ap upright and lateral views of the chest are provided,1.0,,,,,,,,,,,,,
dual-lead pacemaker is in unchanged position,1.0,,,,,,,,,,,,,1.0
a metallic stent projects over the heart in the expected location of the aortic valve,1.0,,,,,,,,,,,,,1.0
hardware is noted in the lower thoracic spine with evidence of vertebroplasty in a lower thoracic vertebral body,1.0,,,,,,,,,,,,,1.0
cardiomegaly is unchanged,,,1.0,,,,,,,,,,,
there is no definite sign of pulmonary edema,1.0,,,,,0.0,,,,,,,,
no pleural effusion or signs of pneumonia,1.0,,,,,,,0.0,,,0.0,,,
mediastinal contour is stable,,-1.0,,,,,,,,,,,,
bony structures appear unchanged,1.0,,,,,,,,,,,,,
a wedge deformity is seen just above the level of vertebroplasty in the lower t-spine which is unchanged  .,,,,,,,,,,,,,,
ap upright and lateral views of the chest are provided,1.0,,,,,,,,,,,,,
